Fecha,Campania,Plataforma,inversion,evento_objetivo,Instalaciones,cvr
2025-03-13,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(MASTERCARD-PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,560.97000000000002728484105318784713745117,650,1138,0.5711775043936731
2025-03-12,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(MASTERCARD-PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,446.6899999999999977262632455676794052124,932,1441,0.64677307425399033
2025-03-16,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(MASTERCARD-PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,649.42999999999994997779140248894691467285,344,769,0.44733420026007803
2025-03-15,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,0,8,1,8.0
2025-03-06,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,0,15,25,0.6
2025-03-13,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,0,16,4,4.0
2025-03-05,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,0,18,32,0.5625
2025-03-11,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,0,62,54,1.1481481481481481
2025-03-07,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,0,2,15,0.13333333333333333
2025-03-12,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,0,25,13,1.9230769230769231
2025-03-09,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,0,10,17,0.58823529411764708
2025-03-14,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,0,14,7,2.0
